"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Marion County, Missouri",188.8,42088,28880,18,39.7,0.0243,47.7,7.2,4.673182651
"Delaware County, Oklahoma",182.4,36424,41459,18.8,45.8,2.47,55,9.2,4.550418639
"Morehouse Parish, Louisiana",186.4,30636,26395,29.4,39.3,2.5,42.9,8,4.979184013
"Roger Mills County, Oklahoma",153.2,56139,3788,12.3,40.6,2.8,54,0.8,2.822580645
"Bleckley County, Georgia",162.6,40454,12243,23.2,37.3,2.71,41.1,4.8,3.671437461
"Calhoun County, South Carolina",150.9,41209,14781,19.3,45.3,2.45,53.3,8.6,5.434122647
"Barron County, Wisconsin",168.4,46375,45563,13.7,43.9,2.35,55.8,6,5.884312202
"Obion County, Tennessee",215.6,40683,30639,20.8,42.1,2.42,52.1,11.2,4.063986165
"Fannin County, Georgia",182.8,37813,24303,19.6,50.2,2.48,55,12,4.835115865
"La Paz County, Arizona",126.1,32533,20152,22.8,54.8,2.14,54.1,11.2,4.686489981
"Clay County, West Virginia",212.9,32961,8910,25.1,43.3,2.62,55.8,12.3,8.753056235
"Marion County, Indiana",201,42700,939020,21.3,34.1,2.5,39.4,10.1,5.992308937
"Buena Vista city, Virginia",240.8,38331,6618,17.2,33.8,2.26,48.1,7.3,11.88769415
"Caldwell County, Kentucky",224.7,42640,12681,18.2,42.6,2.39,55.2,8.7,7.912885662
"Valley County, Montana",129.5,46328,7659,12.4,45.5,2.26,60.5,2.6,5.681818182
"McKenzie County, North Dakota",124.6,81209,12826,8.6,32.2,2.93,51.1,3,8.189655172
"Nome Census Area, Alaska",277.6,47160,9846,26.1,27.8,3.26,35.9,16.5,11.35038134
"Mono County, California",102.1,59181,13909,11.3,38.5,2.82,42.2,13.4,1.991310644
"Blue Earth County, Minnesota",151.9,49513,65787,17.9,30.1,2.46,43.6,4.9,4.61118069
"Jersey County, Illinois",175.9,52493,22372,11.6,42.3,2.45,54.8,8,3.045785027
"Meriwether County, Georgia",173.9,37243,21190,23.6,42.1,2.65,48.7,12.8,6.365870002
"Okmulgee County, Oklahoma",214.1,38183,39187,21.5,39.2,2.53,46.1,10.4,6.833686191
"Dunklin County, Missouri",230,31486,30895,29.8,39.8,2.44,47.4,8.1,6.176009129
"Robeson County, North Carolina",193,30414,134197,33.1,35.2,2.87,39.2,12.1,5.971635486
"Sawyer County, Wisconsin",208.5,40701,16376,17,49.3,2.19,57,9.8,4.272316777
"Monona County, Iowa",165,43178,8979,14.3,47,2.19,55.3,5.5,4.371921182
"Cedar County, Iowa",147.9,61423,18340,7.9,42.1,2.37,60.1,3,5
"Forsyth County, North Carolina",179.9,45944,369019,19.7,37.7,2.46,46.6,9.5,4.481749235
"Wayne County, Georgia",205.6,41093,29534,25.5,37.3,2.77,47.6,11.3,5.499843309
"Pierce County, Wisconsin",149.8,68471,40889,10.8,35.9,2.51,51.5,3.6,4.109589041
"Keith County, Nebraska",161.3,45192,8063,12,49.1,2.06,59.5,2.8,2.702702703
"Bertie County, North Carolina",175.3,31217,20199,27.7,44.8,2.59,39,13.5,4.823151125
"Washington County, Florida",209.1,36482,24687,20,40.9,2.66,46.6,11.5,5.908289242
"Boone County, Iowa",171,54186,26643,10.4,41.3,0.0237,54.1,4.7,4.473125884
"Clay County, South Dakota",170.9,43453,13964,24.9,25.2,2.21,36.6,6.8,2.566452796
"Blackford County, Indiana",189.1,39563,12298,15,43.3,2.35,54.3,9.8,6.987761548
"Calumet County, Wisconsin",157.9,68430,49762,5.9,39,2.66,62,3.1,4.330985915
"Grand County, Utah",179.8,43344,9516,15,39.1,2.44,46.3,7.1,2.808716707
"Auglaize County, Ohio",189.7,52650,45876,8.3,41,2.49,58.4,5,6.028766704
"Sibley County, Minnesota",181.7,59893,14875,9.2,41.4,2.46,58.3,5.5,5.58244595
"Torrance County, New Mexico",164.3,37311,15485,27.6,43.3,2.81,49.1,11.2,2.98792117
"Madison Parish, Louisiana",181.9,26732,11514,41.4,34.6,2.55,34.6,16.9,4.463336876
"Jackson County, South Dakota",148.3,31922,3321,33.9,30.5,3.05,47.1,17.4,12.14574899
"Stevens County, Kansas",148.2,59773,5806,9.7,34.9,2.84,68,3,4.250386399
"Grant County, New Mexico",159.4,38221,28609,19.1,46.5,2.37,45.8,9.7,5.998550199
"Coosa County, Alabama",211.9,34679,10724,18.8,45.1,2.42,44.7,17,2.504393673
"Coles County, Illinois",176.1,41319,52521,22.9,33.3,2.31,42,9.7,4.437890116
"Effingham County, Illinois",180.1,52578,34371,11.8,38.9,2.54,54.1,5.4,4.731034483
"Chenango County, New York",180.3,46387,48844,16.7,43.8,0.0249,50.2,7.1,5.052412881
"Fresno County, California",152.8,43338,974861,27.5,31.4,3.17,44.2,13.2,6.004383506
"Tallahatchie County, Mississippi",235,28456,14588,37.4,36,2.4,30.1,19,2.224694105
"Robertson County, Tennessee",187.2,52640,68570,13.4,38.6,2.7,57,8.4,5.976467659
"Aurora County, South Dakota",158.3,50896,2733,10.8,41.8,2.24,61.6,1.9,10.62992126
"Houston County, Texas",176.8,33698,22785,25.9,44.5,2.45,43.9,6.4,3.995098039
"Orange County, Indiana",201.5,39572,19605,18,40.9,0.0254,54.4,6.8,6.829499644
"Big Stone County, Minnesota",178,46495,5040,12.8,49.2,2.18,63.2,3.3,7.09382151
"Limestone County, Alabama",159.7,51175,91663,13.6,39,2.64,54.6,7.8,5.183501765
"Crawford County, Georgia",197.9,43111,12388,19.9,43.5,2.72,48.8,11,2.190865206
"Chautauqua County, New York",173.2,41757,130779,19.3,41.7,2.36,47,7.8,6.073151538
"Mecosta County, Michigan",177.2,41572,43067,23,35.7,2.61,44.2,12.2,4.303337477
"Garfield County, Oklahoma",184.6,49136,63569,14.5,36.2,2.52,55.7,5.6,7.18973747
"Montgomery County, New York",170.1,40923,49642,18.9,41,2.5,44.5,8.9,6.043704855
"Ellis County, Oklahoma",186.6,52032,4231,12,44.3,2.38,59.3,5,5.277044855
"Quitman County, Georgia",250,29477,2302,29.5,49.2,2.29,40.2,11.2,8.61618799
"Ness County, Kansas",128.7,51923,3005,10,49.2,2.18,62.5,2.7,9.725158562
"Delta County, Michigan",178.5,43338,36377,14.8,46.4,2.3,54,9.2,3.887024609
"Izard County, Arkansas",184.1,32744,13445,22,48.1,2.28,56.7,10,4.812157028
"Gooding County, Idaho",151.5,44669,15284,17.1,36.3,2.84,59.1,3.8,6.793917826
"Montgomery County, Missouri",176.9,42105,11703,16.1,43.7,2.37,55.1,9.4,4.500642949
"Washington County, Idaho",173.6,35955,9984,17.8,44.9,2.59,54.4,9.7,8.792924037
"Sullivan County, Indiana",206,43933,20928,16.9,40.8,2.47,50.6,6.8,6.615715309
"Douglas County, Georgia",175.3,54581,140733,14.2,35.9,2.87,47.7,10.5,6.214984071
"Crittenden County, Arkansas",242.9,35455,48963,27.3,34.6,2.67,40.3,9.9,7.947176973
"Genesee County, New York",181.6,52410,58937,12,42.7,2.45,52.8,6.7,6.002939584
"Pulaski County, Missouri",196,47227,53221,15.9,26.8,2.84,45,12.7,5.283078379
"Humboldt County, Iowa",129.4,49696,9555,10.1,43.7,2.28,58.1,4.8,5.386289445
"Union County, Florida",362.8,40207,15234,24.3,40.3,2.58,36.4,11.7,3.739774055
"Benton County, Washington",163.9,58750,190309,14.6,35.5,2.72,53.5,6.9,6.253360451
"Atchison County, Kansas",180.2,44199,16398,17.4,35.9,2.53,45.6,7.3,6.012884753
"Davis County, Iowa",158.6,46750,8769,15.4,38,2.73,60.6,4.2,8.783008037
"Apache County, Arizona",142.1,32366,71474,33.1,33.4,3.67,34.8,18.2,6.518302323
"Columbia County, Georgia",156.9,68067,144052,9.5,36.6,2.98,57,7.1,5.223686116
"Hale County, Texas",173.4,40213,34360,24,32.5,2.86,50.4,8.1,7.298720843
"Union County, Oregon",169,44841,25790,17.7,40,2.46,52.7,7.1,5.602240896
"Rush County, Indiana",222,47418,16672,14.4,41.3,2.42,55.1,6.9,5.966850829
"Lincoln County, Arkansas",194.4,37644,13820,29,37.5,2.43,37.2,14.2,8.022922636
"Cassia County, Idaho",133.7,45078,23506,15.6,31.7,2.96,60.1,5.7,8.097815193
"Jackson County, Illinois",171.5,34395,59362,30.4,30.1,2.36,37.8,10.4,3.217455621
"Horry County, South Carolina",178.6,42830,309199,17.6,43,2.43,50.1,8.7,4.420790925
"St. Louis city, Missouri",214.3,35681,315685,28.8,34.6,2.2,28.6,12.4,4.685604704
"Will County, Illinois",176.4,75176,687263,8.1,36.6,3.02,54.7,7.8,5.115003933
"Aitkin County, Minnesota",164.1,40676,15702,14.9,53.1,2.05,61.2,7.3,7.867412141
"Juniata County, Pennsylvania",162.9,48944,24737,12.3,43,2.61,56.3,5.7,5.734425605
"Lyon County, Iowa",151.7,61750,11745,7.9,38.4,2.57,65.2,2.4,6.586310805
"Jackson County, Michigan",193.8,46670,159494,15.4,40.5,2.48,48,10.3,5.040777373
"Kleberg County, Texas",164.1,40884,31857,22.8,28,2.76,40.2,11.7,5.244100387
"Desha County, Arkansas",186.9,33028,11965,27.3,39.4,2.33,44.2,17.7,5.621925509
"Allen County, Kentucky",195.1,39801,20640,19,40.3,2.59,58.2,9.2,3.786096257
"Union County, Tennessee",221.3,37453,19119,22.6,41,2.59,55.8,9.5,3.464419476
"Palo Alto County, Iowa",152.6,50600,9133,11.5,42.9,2.23,58.1,2.9,4.690117253
"Oconee County, Georgia",140.8,80631,35965,7.9,39.7,2.88,61.2,5,3.593692703
"Meade County, South Dakota",147.9,54771,26986,10.4,36.2,2.42,61.8,2.3,9.527108955
"Burleigh County, North Dakota",141.6,66734,92991,8.2,36.8,2.3,53.9,2.3,6.137971127
"Northampton County, North Carolina",189.9,32063,20426,25.8,47.1,2.35,38.6,15.9,2.454590083
"Adams County, Illinois",167.4,46061,67013,14.2,40.6,2.44,52.6,6.8,5.866611774
"Columbia County, Pennsylvania",175.2,46938,66672,14.3,40.1,2.4,48.1,5.7,4.087548063
"Santa Rosa County, Florida",190.7,58587,167040,11.2,39.5,2.65,54.8,7.9,5.465692312
"Jasper County, South Carolina",179.1,37715,27824,24.5,36.5,2.85,44.2,11.9,6.543128895
"Rusk County, Wisconsin",195.2,39999,14124,16.9,47.5,2.27,55.5,5.9,4.399845619
"Arlington County, Virginia",136.5,107143,229164,8.5,33.9,2.24,42.9,3.7,5.34181797
"Troup County, Georgia",186,41141,69763,19.5,36.1,2.73,43.1,11.9,6.920828113
"Wood County, Texas",167.6,42753,43356,15.4,48.2,2.57,55.4,8.9,6.943899568
"Ottawa County, Michigan",142.2,60577,279955,9.1,34.7,2.74,56.6,6.1,5.371555803
"Hoke County, North Carolina",191.8,44175,52671,19.5,31.4,2.93,50.7,13.1,7.366934285
"Logan County, Ohio",205.6,50753,45386,17,40.7,2.42,54.2,7.6,6.601566473
"Staunton city, Virginia",176.1,42552,24416,16.5,42.3,2.21,43.6,5.6,3.909798832
"Nicholas County, West Virginia",199.8,36375,25594,19.6,43.4,2.39,57.9,8.4,3.346456693
"Marion County, Arkansas",213.7,33181,16185,20.3,51.3,2.43,58.2,10.9,5.886450714
"Dolores County, Colorado",122.2,44235,1978,15.4,39.9,2.64,52.7,4.6,2.105263158
"Randolph County, Indiana",198.5,41577,25172,16.1,42.2,2.39,55.4,7.8,4.972375691
"Hill County, Texas",186.4,41521,34855,21.8,42.4,2.63,53.6,8.9,8.01384083
"Chaffee County, Colorado",140.8,48840,18658,12.4,49.2,2.21,55.5,5.9,4.893475366
"Meigs County, Ohio",206.9,38081,23257,22.6,42.3,2.49,53.8,12.1,5.707001373
"Nobles County, Minnesota",138.1,50684,21770,13,36.6,2.71,54.1,6.9,7.86717183
"Breckinridge County, Kentucky",199.5,41547,20018,19.2,42.5,2.71,56,11.5,7.765151515
"Trinity County, California",189.4,34961,13069,19.9,50.3,2.38,53.8,9,1.470588235
"Lee County, South Carolina",247.3,31510,17896,27.8,40.1,2.63,34.5,14.9,6.288258208
"Gunnison County, Colorado",102.6,48940,16067,14.9,34.3,2.34,43,7.8,6.455696203
"Richland Parish, Louisiana",191.3,36666,20523,24.9,38,2.59,49.5,9.6,3.43803056
"Glascock County, Georgia",211.1,39643,3065,19.4,40,2.67,54.7,7.1,0.855920114
"Claiborne County, Mississippi",175.9,26083,9150,42.6,32.7,2.74,26.2,17.5,5.663430421
"Marshall County, West Virginia",184.6,43356,31978,15.2,44.3,2.36,57.7,7,3.174132305
"Schuyler County, Missouri",208.7,34644,4436,18.2,41.3,2.52,57.8,7.4,7.524536532
"Pike County, Illinois",176,39005,15989,15.2,42.6,2.34,56.2,5.6,5.732087227
"Schuyler County, Illinois",214.2,47092,7032,13.2,44.7,2.2,52.2,5.3,5.282199711
"Antelope County, Nebraska",139,50919,6414,14,46.5,2.27,66,1.6,8.048993876
"Kent County, Rhode Island",184.1,61923,164801,9.3,43.5,2.38,49.7,8.2,5.275186191
"Cottle County, Texas",192.3,32722,1426,20.9,50.1,2.38,64.5,7.5,8.620689655
"Kauai County, Hawaii",149.4,58883,71735,12.3,41.6,3.07,51.8,5.4,4.798813776
"Lawrence County, South Dakota",161.8,45945,24827,13.6,41.5,2.22,52.2,3.8,3.67487328
"Linn County, Oregon",186.5,44358,120547,19.1,39.5,2.61,52.9,10.6,4.659172628
"Crittenden County, Kentucky",211.2,38338,9183,20.3,43,2.4,57.4,7.1,4.350132626
"Upton County, Texas",166.7,55918,3651,14.3,31.9,2.75,60.6,4.3,10.47120419
"Cherokee County, Oklahoma",207.3,38027,48447,20.6,34.8,2.81,46,7.9,5.833404093
"Schenectady County, New York",175.7,56508,154604,13.2,39.9,2.65,44.8,7.4,5.183987725
"Etowah County, Alabama",201,39904,103057,19,40.8,2.56,50.1,9,4.287972051
"Yell County, Arkansas",207.9,37080,21713,17.4,39.1,2.8,53.1,8.3,4.956760177
"Tallapoosa County, Alabama",200.5,36779,40844,21.3,42.8,2.48,50.2,9,5.462418119
"Cuming County, Nebraska",128.3,56047,9125,9.1,43.6,2.41,61.3,3.3,7.272727273
"Copiah County, Mississippi",194.9,35314,28773,26,38.1,2.82,43.7,14.3,4.448742747
"Onslow County, North Carolina",179.9,47201,186311,14.3,26.1,2.75,54.5,11.6,9.215177413
"Tyrrell County, North Carolina",222.3,32773,4070,28.3,44.4,2.45,42.5,14.1,7.088989442
"Newton County, Mississippi",185.3,35185,21747,22.3,37.7,2.61,48.9,10.6,4.476744186
"Ingham County, Michigan",165.5,45840,286085,20.1,31.5,2.4,38.8,9,4.499226458
"Prince George's County, Maryland",172.7,71904,909535,10.3,35.8,2.86,38.5,8.7,5.044283329
"Wilson County, Tennessee",179.2,60955,128911,10.1,40.1,2.72,56.6,6.5,4.280356467
"Lafayette County, Arkansas",195.2,32225,6996,27.5,45,2.52,41.5,12.5,3.516921035
"Lake County, Florida",171.3,46895,325875,13.8,46.4,2.57,54.9,9.7,5.546022599
"Hutchinson County, South Dakota",130.4,48879,7301,13.2,45.6,2.23,57.3,3,7.142857143
"Ohio County, West Virginia",184.4,40195,43066,18.4,43.3,2.24,45.2,5.5,3.257226644
"Powhatan County, Virginia",175.1,75539,28031,7.1,43.7,2.63,57.5,4.9,5.615292712
"Santa Cruz County, Arizona",132.8,37465,46461,23.6,36.5,3.04,53.1,11.3,6.643259725
"Fall River County, South Dakota",187.8,42007,6867,17,52.4,2.14,52.3,4.1,6.16375345
"Lincoln County, Montana",174.6,36734,19052,19.2,50.8,2.21,55.9,13.1,4.703476483
"Canyon County, Idaho",154.8,43489,207478,18,32.8,2.98,53.8,9.4,6.940188877
"Iroquois County, Illinois",185,46895,28672,15.8,44.1,2.42,55.5,7.5,6.404437721
"Jefferson County, Wisconsin",164,56365,84559,10.6,39.1,2.49,53.8,5.5,4.73206677
"Dodge County, Georgia",190.6,32293,20882,25.9,40.2,2.35,44.9,9.8,5.125899281
"Morrow County, Oregon",191.7,51839,11190,16.3,37.4,2.96,56.8,8.6,9.868141217
"Door County, Wisconsin",158.7,49717,27554,11,51.7,2.11,62.6,6.2,4.481380181
"Pawnee County, Oklahoma",213.8,43476,16436,15.4,41.4,2.6,55.7,6.3,5.987850738
"St. Lucie County, Florida",162.4,42722,298563,17.3,43.9,2.64,49.1,12.4,5.736951023
"Fillmore County, Minnesota",152.7,52444,20834,11.6,43,2.4,59.1,4.3,5.655206776
"Calloway County, Kentucky",195.3,37705,38343,20.2,33.7,2.35,43.8,9.1,3.144290123
"Roscommon County, Michigan",201.8,35002,23898,20.7,54.4,2.06,53.8,14.2,5.928954766
"Campbell County, Wyoming",215.9,79358,49220,7.1,32.7,2.71,56.6,4,5.19665272
"Prince Edward County, Virginia",188.8,37543,22952,25.5,32.1,2.49,36.1,7,7.608005083
"Millard County, Utah",131.6,52623,12645,12.9,34.9,2.98,62.7,4.3,8.884297521
"Moffat County, Colorado",164.1,56193,12937,11.2,37.1,2.6,53.1,5.9,6.831648658
"Georgetown County, South Carolina",190.9,44283,61298,19.6,47.5,2.55,50.1,11.2,5.073731567
"Moore County, North Carolina",160.3,51650,94352,15.5,45.1,2.44,55.8,8,3.694753236
"York County, Pennsylvania",170.2,58471,442867,10.2,40.7,2.57,52.6,7.3,4.689714916
"Polk County, Missouri",183.4,38344,31229,18.1,37.5,2.52,55,9.5,3.172641121
"Rutherford County, Tennessee",177.6,53799,298612,14.7,32.9,2.76,51,6.8,4.947730667
"Mecklenburg County, North Carolina",158.6,59049,1034070,15.2,34.5,2.57,45.3,8.9,5.350191695
"Warren County, Mississippi",192.1,40397,47485,21.7,37.9,2.58,44.8,8,3.589466089
"Texas County, Missouri",161.3,33755,25690,21.5,41.6,2.67,48.4,8.1,4.813502813
"Caledonia County, Vermont",184.3,45029,30780,13.9,43.1,2.43,49.5,7.2,3.307540586
"Somervell County, Texas",168.2,51733,8739,12.1,40.6,2.45,58.9,2.1,9.165808445
"Neosho County, Kansas",183.5,41527,16346,17.7,40,2.47,53.1,4.7,8.276059565
"Queen Anne's County, Maryland",173.8,80650,48904,7.5,43.5,2.75,57.4,5.3,5.627462015
"Drew County, Arkansas",190.6,36801,18778,24,37.5,2.43,50.7,14.3,4.350706714
"Adair County, Missouri",162.6,35425,25378,26.9,27.9,2.36,39.1,7.9,3.767349636
"Noble County, Ohio",122.5,43953,14326,16.3,50.2,2.45,51.6,7,6.422798809
"Johnson County, Kansas",146.8,76104,580159,6.6,36.8,2.56,56.8,4.5,5.529393013
"Hancock County, Tennessee",230.9,27323,6572,29.5,44.2,2.35,51.7,12.1,8.014184397
"Grundy County, Iowa",151.8,61215,12435,6.7,42.2,2.37,62.7,3.9,6.03588907
"Cloud County, Kansas",178.6,42697,9219,14,42.3,2.24,49.1,6.8,7.08200213
"Chickasaw County, Mississippi",198.9,31616,17328,24.7,37.7,2.63,43.4,12.2,7.273181705
"Lucas County, Ohio",196.2,42344,433689,20.7,37.7,2.4,41.6,11.1,5.157532738
"Daviess County, Missouri",206.3,41610,8253,16.8,40.5,2.65,58.1,5.7,7.483794932
"Skagit County, Washington",172.7,51395,121846,15.7,41,2.56,53.6,8.2,5.818153266
"Anderson County, Tennessee",195.6,46689,75749,15.6,43.2,2.43,48.8,7.7,3.957446809
"Rush County, Kansas",114.3,43083,3130,12.1,48.8,2.1,56.8,5.6,10.75837743
"Potter County, Pennsylvania",191.9,40323,17093,14.3,45.8,2.57,52.1,6.9,6.77146312
"Jefferson County, Nebraska",201.3,44947,7263,11.5,45.5,2.18,58.4,4,5.139186296
"Dunn County, North Dakota",127.1,72018,4646,9.5,41.7,2.6,56.2,4.3,4.710632571
"Audubon County, Iowa",176.9,50014,5773,11.1,47.8,2.15,59.8,2.6,4.757548033
"Washington County, Maryland",181,54606,149585,13.8,40.4,2.5,49.4,8.5,5.93936457
"Houston County, Alabama",189.6,40124,104173,20.1,39,2.62,46.9,8.3,5.664585192
"Limestone County, Texas",201.8,37256,23320,19.6,39.3,2.77,48.9,8.2,4.700402287
"Washington County, Oklahoma",185.2,49056,52021,13.9,40.5,2.43,55,5.3,6.522329921
"Sussex County, New Jersey",176.4,82048,143673,6.2,43.4,2.67,55.9,8.2,4.625184917
"Franklin Parish, Louisiana",140.5,32318,20410,29,37.9,2.54,42.8,11.5,5.698070375
"Fairfield County, South Carolina",201.9,35490,22747,23.1,44.1,2.52,45,12.8,2.009646302
"Crawford County, Missouri",206.8,37379,24526,20.7,41.2,2.61,51.8,12.7,7.465766273
"Gilmer County, West Virginia",209.9,32705,8518,28.9,38.4,2.4,43.2,9.4,2.328431373
"Adams County, Ohio",217.2,34116,28024,24.8,41,2.56,52.8,13.4,4.079365079
"Buckingham County, Virginia",191.8,38731,17032,22.8,42.2,0.0268,43.5,11.2,3.636938646
"Garfield County, Utah",105.4,45666,5009,12.2,39.6,2.75,59.9,8.6,3.098290598
